@RELATION Features

@ATTRIBUTE BBBarycenterX0 NUMERIC
@ATTRIBUTE BBBarycenterY0 NUMERIC
@ATTRIBUTE PixelsRatio0 NUMERIC
@ATTRIBUTE BBBarycenterX1 NUMERIC
@ATTRIBUTE BBBarycenterY1 NUMERIC
@ATTRIBUTE PixelsRatio1 NUMERIC
@ATTRIBUTE BBBarycenterX2 NUMERIC
@ATTRIBUTE BBBarycenterY2 NUMERIC
@ATTRIBUTE PixelsRatio2 NUMERIC
@ATTRIBUTE BBBarycenterX3 NUMERIC
@ATTRIBUTE BBBarycenterY3 NUMERIC
@ATTRIBUTE PixelsRatio3 NUMERIC
@ATTRIBUTE BBBarycenterX4 NUMERIC
@ATTRIBUTE BBBarycenterY4 NUMERIC
@ATTRIBUTE PixelsRatio4 NUMERIC
@ATTRIBUTE BBRatio NUMERIC
@ATTRIBUTE class {accident,bomb,car,casualty,electricity,fire,fire_brigade,flood,gas,injury,paramedics,person,police,roadblock}


@DATA
0.524823,0.547297,0.890071,0.742857,0.486486,0.926062,0.471429,0.621622,0.874517,0.314286,0.445946,0.880116,0.6,0.567568,0.878378,0.952703,accident
0.506024,0.521739,0.87428,0.585366,0.478261,0.822906,0.487805,0.594203,0.898904,0.317073,0.594203,0.916578,0.707317,0.565217,0.8579,0.601449,accident
0.525773,0.544643,0.873619,0.854167,0.803571,0.960193,0.479167,0.589286,0.835938,0.291667,0.5,0.824777,0.541667,0.392857,0.870164,0.866071,accident
0.552381,0.538462,0.875897,0.884615,0.769231,0.948817,0.5,0.6,0.851183,0.384615,0.446154,0.826331,0.557692,0.430769,0.873964,0.807692,accident
0.542553,0.520661,0.864691,0.744681,0.666667,0.924113,0.404255,0.566667,0.853191,0.361702,0.483333,0.820567,0.617021,0.45,0.858865,0.77686,accident
0.488372,0.598291,0.872722,0.75,0.482759,0.868804,0.53125,0.586207,0.833244,0.234375,0.586207,0.940194,0.546875,0.62069,0.843481,1.10256,accident
0.544643,0.576271,0.872654,0.839286,0.644068,0.921913,0.607143,0.525424,0.863499,0.214286,0.457627,0.879237,0.482143,0.576271,0.825969,0.949153,accident
0.512605,0.596491,0.871738,0.881356,0.614035,0.906631,0.59322,0.508772,0.828724,0.135593,0.54386,0.918525,0.491525,0.491228,0.830211,1.04386,accident
0.483516,0.566667,0.837363,0.666667,0.516667,0.834815,0.511111,0.566667,0.798889,0.288889,0.5,0.887037,0.6,0.6,0.825926,0.758333,accident
0.532258,0.604478,0.869463,0.854839,0.61194,0.936928,0.483871,0.626866,0.852672,0.241935,0.477612,0.873134,0.483871,0.58209,0.815118,0.925373,accident
0.455357,0.574627,0.883529,0.642857,0.477612,0.870469,0.464286,0.58209,0.848881,0.196429,0.61194,0.9379,0.607143,0.58209,0.876866,0.835821,accident
0.550562,0.559441,0.858647,0.568182,0.478873,0.897247,0.363636,0.605634,0.872279,0.477273,0.492958,0.860115,0.613636,0.535211,0.824264,0.622378,accident
0.483516,0.52518,0.870978,0.666667,0.463768,0.880837,0.466667,0.550725,0.857971,0.266667,0.550725,0.876329,0.6,0.478261,0.871498,0.654676,accident
0.491228,0.6,0.874955,0.736842,0.5,0.923733,0.508772,0.597222,0.815302,0.263158,0.513889,0.901803,0.54386,0.527778,0.858918,0.786207,accident
0.555556,0.6,0.867565,0.836735,0.731343,0.95431,0.44898,0.61194,0.853183,0.285714,0.447761,0.86689,0.55102,0.477612,0.792263,0.733333,accident
0.598639,0.595041,0.936246,0.5,0.5,1,0.520548,0.916667,0.942009,0.273973,0.516667,0.905251,0.534247,0.4,0.897489,1.21488,accident
0.527778,0.516854,0.895755,0.740741,0.409091,0.877946,0.5,0.704545,0.910774,0.185185,0.636364,0.923401,0.62963,0.431818,0.867424,1.21348,accident
0.490566,0.534091,0.874678,0.735849,0.5,0.854202,0.433962,0.590909,0.859777,0.226415,0.590909,0.910377,0.698113,0.454545,0.874357,1.20455,accident
0.511628,0.553571,0.895764,0.796875,0.535714,0.907366,0.5,0.607143,0.871931,0.25,0.517857,0.914621,0.640625,0.428571,0.887835,1.15179,accident
0.514286,0.56383,0.877406,0.75,0.510638,0.88707,0.519231,0.680851,0.856792,0.25,0.510638,0.901391,0.653846,0.510638,0.862111,1.11702,accident
0.5,0.554455,0.903505,0.634921,0.48,0.892698,0.380952,0.5,0.92254,0.253968,0.6,0.93746,0.634921,0.58,0.874921,1.24752,accident
0.449541,0.506494,0.893483,0.611111,0.473684,0.841131,0.425926,0.605263,0.898148,0.166667,0.763158,0.954678,0.611111,0.368421,0.878168,1.41558,accident
0.524272,0.552632,0.895631,0.705882,0.421053,0.879773,0.470588,0.631579,0.901961,0.196078,0.684211,0.937564,0.666667,0.526316,0.863261,1.35526,accident
0.484211,0.543478,0.89222,0.638298,0.369565,0.875578,0.404255,0.717391,0.886216,0.234043,0.695652,0.929695,0.659574,0.434783,0.876503,1.03261,accident
0.495935,0.520408,0.898374,0.606557,0.408163,0.872198,0.47541,0.755102,0.911342,0.295082,0.632653,0.919706,0.622951,0.489796,0.890264,1.2551,accident
0.514286,0.422222,0.794286,0.588235,0.454545,0.703209,0.411765,0.590909,0.909091,0.352941,0.590909,0.762032,0.705882,0.363636,0.802139,0.777778,accident
0.486486,0.548387,0.746295,0.555556,0.4,0.651852,0.333333,0.4,0.825926,0.111111,0.6,0.914815,0.555556,0.666667,0.637037,1.19355,accident
0.472222,0.488889,0.76358,0.444444,0.409091,0.656566,0.444444,0.727273,0.856061,0.333333,0.636364,0.808081,0.666667,0.5,0.770202,0.8,accident
0.521739,0.403846,0.803512,0.565217,0.384615,0.720736,0.130435,0.615385,0.934783,0.304348,0.538462,0.797659,0.565217,0.346154,0.76087,0.884615,accident
0.472727,0.46875,0.821875,0.592593,0.46875,0.737269,0.333333,0.46875,0.859954,0.259259,0.625,0.868056,0.703704,0.40625,0.815972,0.859375,accident
0.5,0.597701,0.919775,0.77551,0.505747,0.927516,0.469388,0.609195,0.897138,0.265306,0.62069,0.947689,0.622449,0.597701,0.906756,1.12644,accident
0.519608,0.6,0.924281,0.823529,0.48,0.930719,0.490196,0.693333,0.910719,0.303922,0.653333,0.94732,0.607843,0.586667,0.908366,1.36,accident
0.514563,0.553073,0.936866,0.718447,0.460674,0.932366,0.378641,0.550562,0.941202,0.291262,0.617978,0.95462,0.640777,0.595506,0.923203,1.15084,accident
0.515,0.555556,0.931799,0.63,0.382979,0.947872,0.33,0.62766,0.939149,0.27,0.606383,0.929894,0.6,0.56383,0.912872,1.0582,accident
0.518519,0.546875,0.940321,0.759259,0.479167,0.945216,0.416667,0.604167,0.937404,0.435185,0.5,0.937693,0.555556,0.760417,0.940972,1.125,accident
0.52809,0.515789,0.906328,0.681818,0.340426,0.869439,0.522727,0.914894,0.95793,0.227273,0.723404,0.931818,0.636364,0.510638,0.882495,0.936842,accident
0.494505,0.536585,0.879121,0.555556,0.292683,0.828726,0.533333,0.878049,0.916531,0.177778,0.731707,0.938753,0.6,0.560976,0.830894,1.10976,accident
0.520325,0.52,0.896992,0.688525,0.42,0.891148,0.409836,0.5,0.922951,0.180328,0.64,0.912459,0.590164,0.52,0.860328,1.23,accident
0.530973,0.521739,0.894344,0.696429,0.385965,0.89693,0.410714,0.561404,0.936717,0.142857,0.684211,0.900063,0.553571,0.491228,0.846491,0.982609,accident
0.558824,0.567797,0.91513,0.75,0.525424,0.917996,0.514706,0.542373,0.932203,0.235294,0.508475,0.939432,0.588235,0.610169,0.870887,1.15254,accident
0.54902,0.526882,0.883934,0.784314,0.434783,0.901961,0.372549,0.630435,0.900682,0.333333,0.565217,0.864876,0.686275,0.543478,0.876385,1.09677,accident
0.51938,0.536082,0.888596,0.71875,0.416667,0.861979,0.453125,0.625,0.916992,0.25,0.604167,0.929688,0.609375,0.583333,0.852865,1.3299,accident
0.515152,0.545455,0.894169,0.742424,0.489796,0.863946,0.439394,0.632653,0.923315,0.19697,0.612245,0.933519,0.606061,0.571429,0.863636,1.33333,accident
0.495868,0.559633,0.89332,0.733333,0.481481,0.860494,0.383333,0.574074,0.908951,0.183333,0.740741,0.947222,0.616667,0.555556,0.862654,1.11009,accident
0.472727,0.518519,0.884933,0.636364,0.462963,0.851852,0.436364,0.648148,0.880135,0.345455,0.611111,0.918855,0.636364,0.462963,0.888889,1.01852,accident
0.491228,0.489796,0.786251,0.571429,0.416667,0.672619,0.535714,0.75,0.845238,0.321429,0.708333,0.845238,0.678571,0.416667,0.772321,1.16327,accident
0.491228,0.473684,0.790089,0.678571,0.464286,0.710459,0.428571,0.5,0.827806,0.321429,0.571429,0.827806,0.642857,0.535714,0.781888,1,accident
0.5,0.480769,0.819789,0.580645,0.384615,0.776675,0.483871,0.769231,0.847395,0.387097,0.576923,0.843672,0.612903,0.384615,0.811414,1.19231,accident
0.553571,0.449275,0.841874,0.678571,0.470588,0.745798,0.607143,0.647059,0.952731,0.285714,0.676471,0.864496,0.607143,0.411765,0.801471,0.811594,accident
0.536232,0.514286,0.828364,0.705882,0.485714,0.770588,0.5,0.457143,0.891597,0.264706,0.6,0.882353,0.647059,0.542857,0.768908,0.985714,accident
0.52381,0.538462,0.850183,0.730769,0.461538,0.840237,0.423077,0.692308,0.857988,0.365385,0.564103,0.870316,0.634615,0.538462,0.830868,1.34615,accident
0.527559,0.552941,0.866883,0.634921,0.452381,0.840514,0.650794,0.619048,0.89607,0.253968,0.642857,0.909675,0.650794,0.595238,0.843537,1.49412,accident
0.5625,0.554545,0.903409,0.734375,0.418182,0.925568,0.546875,0.745455,0.936932,0.15625,0.636364,0.897443,0.5625,0.509091,0.853693,1.16364,accident
0.469027,0.519231,0.882743,0.678571,0.403846,0.871566,0.375,0.634615,0.868475,0.267857,0.634615,0.899038,0.642857,0.384615,0.890797,1.08654,accident
0.483051,0.528302,0.883195,0.661017,0.471698,0.836585,0.440678,0.603774,0.89095,0.20339,0.735849,0.93764,0.627119,0.471698,0.867605,1.11321,accident
0.546296,0.550459,0.886256,0.833333,0.462963,0.88546,0.481481,0.592593,0.91358,0.185185,0.666667,0.912551,0.555556,0.5,0.829904,0.990826,accident
0.509091,0.522222,0.880707,0.690909,0.444444,0.838384,0.509091,0.622222,0.907475,0.218182,0.711111,0.934545,0.581818,0.511111,0.842424,1.22222,accident
0.5,0.568421,0.871696,0.688889,0.489362,0.872813,0.422222,0.617021,0.856738,0.222222,0.595745,0.907329,0.644444,0.553191,0.851537,0.947368,accident
0.540541,0.531532,0.905933,0.654545,0.4,0.918347,0.363636,0.490909,0.944793,0.2,0.654545,0.905455,0.6,0.490909,0.870413,1,accident
0.494949,0.52381,0.8886,0.632653,0.403846,0.839089,0.510204,0.692308,0.912088,0.22449,0.615385,0.933281,0.632653,0.615385,0.871664,0.942857,accident
0.543568,0.566524,0.952362,0.766667,0.551724,0.964583,0.391667,0.663793,0.959483,0.316667,0.517241,0.945546,0.6,0.62931,0.946839,1.03433,accident
0.576577,0.58,0.943716,0.783784,0.34,0.982793,0.405405,0.64,0.948559,0.234234,0.54,0.921171,0.648649,0.65,0.922342,1.11,accident
0.530233,0.540541,0.950367,0.766355,0.261261,0.966069,0.373832,0.72973,0.957565,0.196262,0.567568,0.938705,0.560748,0.603604,0.938705,0.968468,accident
0.483412,0.564815,0.937708,0.733333,0.481481,0.936332,0.371429,0.648148,0.927249,0.333333,0.555556,0.950617,0.619048,0.611111,0.936684,0.976852,accident
0.597285,0.568376,0.952759,0.836364,0.461538,0.961461,0.381818,0.487179,0.969464,0.272727,0.598291,0.956876,0.645455,0.623932,0.924398,0.944444,accident
0.571429,0.565574,0.913349,0.761905,0.262295,0.91413,0.52381,0.868852,0.944314,0.190476,0.606557,0.935988,0.603175,0.622951,0.858964,1.03279,accident
0.569343,0.578947,0.908887,0.735294,0.491228,0.926471,0.617647,0.649123,0.920537,0.294118,0.561404,0.919763,0.573529,0.596491,0.869195,1.20175,accident
0.507042,0.504348,0.91537,0.591549,0.385965,0.883617,0.394366,0.54386,0.95231,0.253521,0.701754,0.940944,0.605634,0.561404,0.887077,1.23478,accident
0.503546,0.539683,0.910785,0.742857,0.52381,0.907483,0.414286,0.587302,0.907256,0.242857,0.571429,0.927211,0.657143,0.492063,0.90068,1.11905,accident
0.539007,0.517544,0.923354,0.771429,0.333333,0.930576,0.228571,0.491228,0.942607,0.242857,0.614035,0.922055,0.657143,0.54386,0.898246,1.23684,accident
0.534653,0.630435,0.816616,0.82,0.76087,0.946522,0.46,0.673913,0.757391,0.34,0.5,0.806522,0.54,0.543478,0.750435,1.09783,accident
0.445313,0.582524,0.832297,0.65625,0.45098,0.837623,0.453125,0.588235,0.765625,0.1875,0.647059,0.918811,0.53125,0.490196,0.806679,1.24272,accident
0.434109,0.539683,0.852529,0.65625,0.460317,0.830357,0.453125,0.603175,0.784226,0.40625,0.650794,0.898065,0.546875,0.412698,0.895833,1.02381,accident
0.474227,0.62931,0.807856,0.770833,0.568966,0.859914,0.479167,0.62069,0.712644,0.1875,0.517241,0.878233,0.520833,0.62069,0.774425,0.836207,accident
0.44,0.651685,0.79,0.72,0.477273,0.816818,0.5,0.613636,0.683636,0.08,0.704545,0.93,0.36,0.659091,0.731818,1.1236,accident
0.520231,0.635294,0.892962,0.72093,0.552941,0.947469,0.383721,0.682353,0.86922,0.372093,0.541176,0.904514,0.5,0.623529,0.849111,1.01765,accident
0.470968,0.614379,0.868438,0.636364,0.486842,0.892174,0.454545,0.657895,0.817498,0.376623,0.631579,0.911312,0.532468,0.578947,0.8527,1.01307,accident
0.484848,0.629371,0.84324,0.666667,0.478873,0.896714,0.469697,0.619718,0.792787,0.272727,0.577465,0.90525,0.469697,0.591549,0.777209,0.923077,accident
0.47619,0.550296,0.862403,0.650794,0.416667,0.891534,0.333333,0.654762,0.850151,0.349206,0.607143,0.866213,0.428571,0.488095,0.842215,0.745562,accident
0.476636,0.609929,0.831709,0.698113,0.442857,0.860377,0.433962,0.642857,0.797574,0.301887,0.671429,0.889757,0.490566,0.542857,0.793261,0.758865,accident
0.443478,0.627119,0.848342,0.54386,0.59322,0.886114,0.473684,0.576271,0.755873,0.245614,0.627119,0.90901,0.561404,0.610169,0.838537,0.974576,accident
0.432099,0.592,0.81521,0.625,0.435484,0.826613,0.5,0.564516,0.700806,0.225,0.677419,0.897984,0.55,0.580645,0.833468,0.648,accident
0.549451,0.616,0.825934,0.733333,0.645161,0.928315,0.422222,0.629032,0.78853,0.533333,0.451613,0.827599,0.533333,0.596774,0.760932,0.728,accident
0.392523,0.623932,0.829938,0.603774,0.482759,0.817502,0.45283,0.603448,0.729343,0.0943396,0.862069,0.963565,0.433962,0.517241,0.808718,0.91453,accident
0.490909,0.626984,0.831674,0.545455,0.587302,0.905916,0.345455,0.666667,0.799423,0.381818,0.539683,0.870707,0.436364,0.539683,0.750649,0.873016,accident
0.577982,0.649123,0.906406,0.5,0.5,1,0.351852,0.789474,0.892138,0.537037,0.526316,0.895387,0.444444,0.45614,0.836582,0.95614,accident
0.481752,0.574627,0.899989,0.735294,0.522388,0.932836,0.5,0.671642,0.860404,0.25,0.507463,0.899254,0.5,0.492537,0.905838,1.02239,accident
0.479592,0.587156,0.872777,0.653061,0.62963,0.910431,0.367347,0.62963,0.8322,0.44898,0.5,0.883598,0.489796,0.574074,0.870748,0.899083,accident
0.469697,0.622951,0.896361,0.69697,0.442623,0.951068,0.5,0.639344,0.814456,0.363636,0.540984,0.911078,0.545455,0.540984,0.908843,1.08197,accident
0.5,0.591304,0.869565,0.75,0.649123,0.918129,0.45,0.561404,0.828655,0.316667,0.45614,0.881287,0.55,0.561404,0.861988,1.04348,accident
0.486301,0.626667,0.887123,0.767123,0.48,0.917991,0.479452,0.64,0.84895,0.246575,0.6,0.929863,0.452055,0.6,0.851689,0.973333,accident
0.486239,0.554054,0.851599,0.814815,0.567568,0.876877,0.537037,0.540541,0.821822,0.185185,0.567568,0.87037,0.425926,0.459459,0.834585,0.736486,accident
0.518868,0.615385,0.844557,0.773585,0.630769,0.932946,0.396226,0.630769,0.85225,0.188679,0.492308,0.850218,0.396226,0.584615,0.742816,0.815385,accident
0.465347,0.589286,0.852458,0.72,0.428571,0.879643,0.46,0.642857,0.820714,0.22,0.625,0.898571,0.34,0.5,0.806071,0.901786,accident
0.487603,0.53913,0.876824,0.766667,0.631579,0.938596,0.416667,0.596491,0.82807,0.4,0.491228,0.835088,0.4,0.508772,0.901462,1.05217,accident
0.433071,0.59292,0.903003,0.698413,0.428571,0.918651,0.380952,0.678571,0.855726,0.31746,0.660714,0.922336,0.507937,0.517857,0.919218,1.12389,accident
0.52,0.653226,0.916774,0.822581,0.83871,0.981009,0.419355,0.774194,0.880593,0.370968,0.467742,0.909729,0.532258,0.564516,0.895161,1.00806,accident
0.491071,0.672131,0.916715,0.892857,0.590164,0.990632,0.410714,0.704918,0.865925,0.339286,0.491803,0.926815,0.410714,0.508197,0.883489,0.918033,accident
0.496296,0.585938,0.905903,0.701493,0.5625,0.943797,0.38806,0.671875,0.873834,0.38806,0.53125,0.896922,0.552239,0.5625,0.911147,1.05469,accident
0.509677,0.58209,0.889986,0.675325,0.343284,0.932351,0.402597,0.731343,0.881566,0.402597,0.58209,0.886994,0.402597,0.567164,0.858694,1.15672,accident
0.492537,0.610687,0.863108,0.686567,0.6,0.902411,0.41791,0.6,0.822503,0.313433,0.507692,0.901493,0.537313,0.584615,0.830769,1.0229,accident
0.517544,0.581818,0.869059,0.684211,0.490909,0.925678,0.473684,0.672727,0.817225,0.473684,0.454545,0.869537,0.561404,0.545455,0.863796,1.03636,accident
0.440678,0.544554,0.825978,0.610169,0.46,0.796271,0.508475,0.58,0.762034,0.491525,0.64,0.876949,0.40678,0.58,0.870847,1.16832,accident
0.5,0.617647,0.837453,0.617021,0.632353,0.915207,0.489362,0.544118,0.762516,0.319149,0.544118,0.878911,0.553191,0.544118,0.793179,0.691176,accident
0.5,0.595041,0.822138,0.595745,0.65,0.870922,0.468085,0.5,0.75922,0.340426,0.483333,0.865957,0.595745,0.616667,0.79539,0.77686,accident
0.515464,0.609524,0.83623,0.645833,0.461538,0.914663,0.416667,0.634615,0.804888,0.416667,0.5,0.857772,0.5,0.596154,0.773237,0.92381,accident
0.409091,0.571429,0.832294,0.563636,0.442308,0.822028,0.527273,0.596154,0.715734,0.272727,0.711538,0.911538,0.527273,0.461538,0.876224,1.04762,accident
0.44086,0.607407,0.833851,0.608696,0.462687,0.811486,0.434783,0.567164,0.79721,0.130435,0.776119,0.947112,0.5,0.61194,0.781635,0.688889,accident
0.510204,0.604839,0.849901,0.714286,0.612903,0.949309,0.408163,0.612903,0.825214,0.163265,0.532258,0.831139,0.489796,0.596774,0.793943,0.790323,accident
0.433962,0.6,0.850113,0.679245,0.5,0.851795,0.471698,0.629032,0.770846,0.188679,0.693548,0.927267,0.528302,0.5,0.849665,0.848,accident
0.546667,0.634146,0.909512,0.76,0.621951,0.977236,0.386667,0.695122,0.896098,0.346667,0.47561,0.898211,0.506667,0.658537,0.866504,0.914634,accident
0.503704,0.629834,0.883159,0.731343,0.577778,0.920896,0.477612,0.633333,0.853731,0.313433,0.522222,0.915257,0.507463,0.644444,0.84461,0.745856,accident
0.452174,0.581818,0.879842,0.719298,0.573171,0.891955,0.403509,0.609756,0.850877,0.22807,0.609756,0.915704,0.438596,0.463415,0.866282,0.69697,accident
0.535714,0.56875,0.860156,0.660714,0.65,0.922768,0.339286,0.5625,0.870313,0.375,0.4875,0.853571,0.482143,0.525,0.793973,0.7,accident
0.508197,0.612676,0.864523,0.639344,0.507042,0.911568,0.47541,0.549296,0.812053,0.327869,0.56338,0.90187,0.639344,0.647887,0.832602,0.859155,accident
0.560606,0.576923,0.819153,0.818182,0.769231,0.938617,0.515152,0.615385,0.800311,0.363636,0.564103,0.765346,0.484848,0.512821,0.772339,0.846154,accident
0.45614,0.578947,0.784164,0.714286,0.631579,0.796053,0.392857,0.552632,0.74718,0.25,0.631579,0.838346,0.357143,0.526316,0.744361,0.75,accident
0.462687,0.575,0.790299,0.757576,0.625,0.828788,0.424242,0.6,0.743182,0.242424,0.525,0.824242,0.363636,0.5,0.757576,0.8375,accident
0.41791,0.55,0.820149,0.575758,0.475,0.835606,0.454545,0.5,0.740909,0.242424,0.625,0.859848,0.454545,0.55,0.835606,0.8375,accident
